
 polygon_id | hexagon_id | param_code | param_value
------------+------------+------------+--------------------
          3 |         53 |     hex_id |                 53
         10 |         89 |  predicted | 0.0794920762379964
          7 |         73 |     weight |  0.222748815165877
          6 |        216 |      total |   20.0978031158447
          3 |        187 |     weight | 0.0178571428571429
          7 |        218 |      total |   5.06629991531372
          7 |         67 |  predicted |  0.504228901524114
          4 |         57 |  predicted |  0.152506408691406
          5 |         59 |     hex_id |                 59
          7 |         66 |     weight |  0.374407582938389
          4 |        200 |     hex_id |                200
          1 |         38 |      total |  0.624293088912964
          1 |        177 |      total |  0.624293088912964
          2 |         36 |     hex_id |                 36
          8 |        207 |      total |    9.1206750869751
          6 |        217 |      total |   20.0978031158447
          7 |        218 |     hex_id |                218
          1 |        169 |      total |  0.624293088912964
          6 |         72 |      total |   20.0978031158447
          6 |        209 |     weight |  0.101221640488656
         10 |         88 |  predicted |  0.198730190594991
          7 |         66 |  predicted |   1.89686110573357
         11 |        232 |  predicted |  0.596888160705566
         11 |         85 |  predicted |  0.484971630573273
          1 |        169 |  predicted | 0.0851308757608587
          2 |        184 |  predicted |  0.150186370400821
          6 |        217 |     weight |  0.181500872600349
         10 |         89 |      total |   1.19238114356995
          5 |        201 |     hex_id |                201
          1 |         45 |      total |  0.624293088912964
          2 |        168 |  predicted |  0.056319888900308
         10 |         81 |     weight | 0.0333333333333333
         10 |         82 |      total |   1.19238114356995
          8 |         77 |     hex_id |                 77
          4 |        199 |     hex_id |                199
          2 |         36 |  predicted |  0.056319888900308
          7 |         73 |     hex_id |                 73
          8 |        207 |  predicted |  0.229932985385927
         11 |         93 |     hex_id |                 93
         11 |         85 |     weight |             0.1625
          6 |         79 |     hex_id |                 79
          3 |         60 |      total |   2.48072409629822
          2 |         44 |     hex_id |                 44
          7 |         66 |      total |   5.06629991531372
         10 |        219 |     weight |  0.233333333333333
          9 |        233 |     weight | 0.0348692403486924
          6 |        216 |  predicted |   0.94701690074661
          6 |         79 |  predicted |     1.613436201272
          8 |         71 |      total |    9.1206750869751
          5 |         58 |     hex_id |                 58
          2 |        168 |     weight | 0.0882352941176471
          1 |        177 |  predicted |  0.227015668695623
          9 |        226 |     hex_id |                226
          9 |         87 |  predicted |  0.900943252544474
         11 |        224 |     weight |             0.2125
          2 |        176 |  predicted |  0.056319888900308
          8 |         78 |     weight |  0.201680672268908
          5 |         59 |  predicted |   2.17360897064209
          3 |        195 |     hex_id |                195
          9 |         87 |     hex_id |                 87
          8 |        215 |     weight |  0.134453781512605
          9 |        233 |  predicted |   1.00905644284981
          4 |         64 |      total |   3.81266021728516
          8 |         77 |  predicted |   2.06939686847334
          5 |         52 |     hex_id |                 52
          3 |         53 |      total |   2.48072409629822
         10 |        235 |     weight |  0.166666666666667
          8 |        215 |     hex_id |                215
         11 |        224 |     hex_id |                224
          8 |         70 |  predicted |  0.383221642309878
          9 |         94 |     hex_id |                 94
         11 |        224 |      total |   2.98444080352783
          1 |         38 |  predicted |  0.141884792934765
          6 |         79 |     weight | 0.0802792321116928
          3 |        194 |      total |   2.48072409629822
          1 |         38 |     weight |  0.227272727272727
          4 |        199 |     weight |  0.253333333333333
