
 polygon_id | hexagon_id | param_code | param_value
------------+------------+------------+--------------------
          5 |         58 |      total |   1.99553871154785
          7 |         74 |  predicted |  0.143104697855728
          5 |        193 |  predicted |  0.722912137013561
          2 |        184 |     weight |  0.235294117647059
          5 |        185 |     weight | 0.0754716981132075
          7 |         67 |  predicted |  0.187824915935643
         10 |         89 |  predicted | 0.0303604364395142
          1 |        177 |      total |  0.437635660171509
          4 |        199 |     weight |  0.253333333333333
         11 |         86 |      total |   1.47242784500122
          4 |         57 |  predicted | 0.0546934700012207
          6 |        209 |     weight |  0.101221640488656
          5 |         52 |      total |   1.99553871154785
          8 |         70 |  predicted |   0.10309221363869
          3 |         46 |     weight | 0.0357142857142857
          8 |         77 |      total |   2.45359468460083
         11 |        232 |     weight |                0.2
          8 |        223 |  predicted |  0.247421312732857
          5 |         58 |     hex_id |                 58
          3 |        187 |     weight | 0.0178571428571429
          2 |         43 |  predicted | 0.0464426489437328
          4 |        192 |     weight | 0.0533333333333333
          2 |         44 |      total |  0.394762516021729
          6 |        217 |  predicted |   1.93965417885239
         10 |         88 |     hex_id |                 88
          3 |         60 |     hex_id |                 60
          5 |        193 |      total |   1.99553871154785
          6 |         72 |      total |   10.6867485046387
         10 |        235 |     hex_id |                235
          2 |        168 |     hex_id |                168
          4 |        192 |     hex_id |                192
         10 |         81 |     weight | 0.0333333333333333
          7 |        218 |      total |   1.88719320297241
          9 |        226 |     weight | 0.0087173100871731
          9 |         87 |      total |   15.0451831817627
          3 |        187 |      total |   1.00127959251404
          7 |         67 |     hex_id |                 67
          8 |         77 |     hex_id |                 77
          3 |         60 |     weight |              0.625
          8 |         78 |  predicted |  0.494842625465714
         10 |         89 |      total |  0.455406546592712
          4 |         64 |     weight |  0.373333333333333
          3 |        194 |     weight |              0.125
          8 |        223 |     weight |  0.100840336134454
          5 |        193 |     weight |  0.362264150943396
          1 |        169 |      total |  0.437635660171509
          9 |        234 |     hex_id |                234
          2 |        184 |  predicted | 0.0928852978874655
          7 |         73 |  predicted |  0.420370049951201
         11 |         93 |      total |   1.47242784500122
          6 |        209 |      total |   10.6867485046387
          4 |        199 |     hex_id |                199
          8 |         71 |  predicted |  0.659790167287618
          4 |         57 |     hex_id |                 57
          6 |         72 |     weight |  0.237347294938918
          5 |         52 |  predicted | 0.0225910042816738
          3 |        187 |  predicted |  0.017879992723465
          2 |         36 |     weight | 0.0882352941176471
          8 |         71 |     hex_id |                 71
          3 |        194 |  predicted |  0.125159949064255
          3 |        194 |     hex_id |                194
          1 |         38 |     weight |  0.227272727272727
          6 |         65 |     hex_id |                 65
          2 |         44 |  predicted |  0.139327946831198
          6 |         79 |     hex_id |                 79
         10 |        235 |      total |  0.455406546592712
          6 |        209 |  predicted |   1.08173021512922
          7 |        218 |  predicted |  0.062608305311881
          8 |        207 |      total |   2.45359468460083
          6 |         79 |  predicted |  0.857923963723174
         11 |         93 |  predicted | 0.0368106961250305
          8 |        223 |     hex_id |                223
         10 |         81 |     hex_id |                 81
          8 |         71 |      total |   2.45359468460083
          5 |         59 |     weight |                0.2
          1 |         31 |      total |  0.437635660171509
          5 |         59 |      total |   1.99553871154785
          1 |         45 |     hex_id |                 45
          7 |        218 |     hex_id |                218
          5 |         51 |      total |   1.99553871154785
          1 |        170 |  predicted | 0.0198925300077959
          8 |        215 |     hex_id |                215
          1 |         38 |     hex_id |                 38
          7 |        202 |     hex_id |                202
          6 |         65 |     weight |  0.254799301919721
          5 |         52 |     weight | 0.0113207547169811
          6 |        216 |     hex_id |                216
          6 |         65 |  predicted |   2.72297605877355
          9 |         80 |     hex_id |                 80
          3 |        194 |      total |   1.00127959251404
          3 |         53 |     hex_id |                 53
          8 |        223 |      total |   2.45359468460083
          1 |        169 |     weight |  0.136363636363636
          2 |        176 |      total |  0.394762516021729
          4 |         64 |  predicted |   0.51047238667806
          8 |         70 |      total |   2.45359468460083
          5 |         58 |  predicted |  0.173197699492832
          3 |         46 |  predicted | 0.0357599854469299
          1 |        169 |  predicted | 0.0596775900233876
          8 |        215 |     weight |  0.134453781512605
          9 |        226 |  predicted |  0.131153527113747
          5 |         51 |     hex_id |                 51
          9 |        233 |     weight | 0.0348692403486924
          3 |        195 |     hex_id |                195
          9 |         94 |  predicted |  0.843129817159802
          3 |         60 |      total |   1.00127959251404
          7 |         66 |  predicted |  0.706579445662657
         11 |         85 |  predicted |  0.239269524812698
          9 |        226 |     hex_id |                226
          2 |        168 |     weight | 0.0882352941176471
          3 |         53 |      total |   1.00127959251404
          4 |        200 |     weight |               0.28
          9 |        233 |     hex_id |                233
         10 |         82 |      total |  0.455406546592712
         11 |        232 |      total |   1.47242784500122
          7 |         66 |     weight |  0.374407582938389
         10 |         81 |      total |  0.455406546592712
          7 |         73 |     hex_id |                 73
          9 |        226 |      total |   15.0451831817627
         10 |         89 |     weight | 0.0666666666666667
         11 |         93 |     hex_id |                 93
          1 |        177 |     weight |  0.363636363636364
          2 |         43 |     weight |  0.117647058823529
          7 |        210 |     weight | 0.0663507109004739
          4 |        199 |  predicted |  0.346391976674398
          3 |         46 |      total |   1.00127959251404
          8 |         77 |     weight |  0.226890756302521
         11 |         86 |     weight |                0.4
         11 |        224 |     weight |             0.2125
         10 |         81 |  predicted | 0.0151802182197571
          1 |        170 |     hex_id |                170
          4 |         64 |     hex_id |                 64
          4 |        200 |      total |   1.36733675003052
          5 |         51 |     weight |  0.184905660377358
          1 |        170 |      total |  0.437635660171509
          1 |         45 |     weight |  0.136363636363636
          2 |         37 |  predicted | 0.0116106622359332
          2 |        184 |     hex_id |                184
          7 |        210 |      total |   1.88719320297241
         11 |        232 |  predicted |  0.294485569000244
          6 |        217 |     hex_id |                217
          6 |         65 |      total |   10.6867485046387
          2 |         43 |      total |  0.394762516021729
          9 |        234 |  predicted |   0.11241730895464
          9 |        225 |     hex_id |                225
          9 |        225 |     weight |  0.790784557907846
          2 |         37 |     hex_id |                 37
          1 |         45 |  predicted | 0.0596775900233876
          7 |        218 |     weight |  0.033175355450237
          5 |        201 |  predicted |  0.158137029971717
          4 |        200 |     hex_id |                200
